Company	Location	Date	Level Name	Tag	Years of Experience	Total / At Company	Negotiated	Total Compensation (USD)	Base	Stock (yr)	Bonus
	New York, NY 	 04/30/2022	-	ML / AI	1 yr 	0 yrs	0	$346,250	225K 	 N/A 	 121.3K
	Chicago, IL 	 04/01/2022	-	ML / AI	1 yr 	0 yrs	0	$800,000	300K 	 N/A 	 500K
Boomi	King of Prussia, PA 	 09/13/2022	L2	ML / AI	1 yr 	1 yr	0	$109,148	104K 	 N/A 	 5.2K
MathWorks	Natick, MA 	 09/13/2022	Software Engineer 3	ML / AI	0 yrs 	0 yrs	0	$124,000	124K 	 N/A 	 N/A
Cigna	Minneapolis, MN 	 09/12/2022	L3	ML / AI	2 yrs 	0 yrs	0	$81,000	78K 	 N/A 	 3K
Uber	Seattle, WA 	 09/09/2022	Software Engineer I	ML / AI	0 yrs 	0 yrs	0	$173,750	130K 	 25.3K 	 18.5K
	Sunnyvale, CA 	 06/07/2022	Software Engineer I	ML / AI	1 yr 	1 yr	0	$173,500	133K 	 27.5K 	 13K
	San Francisco, CA 	 06/04/2022	Software Engineer II	ML / AI	2 yrs 	1 yr	0	$260,000	157K 	 80K 	 23K
	Seattle, WA 	 02/28/2022	Software Engineer II	ML / AI	0 yrs 	0 yrs	0	$264,250	160K 	 75K 	 29.3K
	San Francisco, CA 	 02/06/2022	Software Engineer II	ML / AI	2 yrs 	0 yrs	0	$286,000	165K 	 94K 	 27K
Shipt	San Francisco, CA 	 09/09/2022	L2	ML / AI	2 yrs 	1 yr	0	$145,000	145K 	 N/A 	 N/A
	Manchester, NH 	 11/15/2021	L4	ML / AI	2 yrs 	0 yrs	0	$160,000	150K 	 N/A 	 10K
Snap	Seattle, WA 	 09/05/2022	L3	ML / AI	1 yr 	0 yrs	0	$178,000	125K 	 53K 	 N/A
	San Francisco, CA 	 05/25/2022	L3	ML / AI	1 yr 	1 yr	0	$178,438	125K 	 53.4K 	 N/A
	Los Angeles, CA 	 02/18/2022	L4	ML / AI	0 yrs 	0 yrs	0	$397,000	165K 	 215K 	 17K
Sezzle	Orlando, FL 	 09/04/2022	L1	ML / AI	0 yrs 	0 yrs	0	$101,500	85K 	 3.8K 	 12.8K
General Motors	Austin, TX 	 09/01/2022	Software Engineer 1	ML / AI	1 yr 	0 yrs	0	$80,000	80K 	 N/A 	 N/A
	Chandler, AZ 	 11/11/2021	Software Engineer 1	ML / AI	1 yr 	0 yrs	0	$65,000	65K 	 N/A 	 N/A
Zoox	Foster City, CA 	 08/31/2022	L1	ML / AI	0 yrs 	0 yrs	0	$169,083	146K 	 8.3K 	 14.8K
	Foster City, CA 	 11/16/2021	L1	ML / AI	0 yrs 	0 yrs	0	$163,000	145K 	 18K 	 N/A
Motional	Santa Monica, CA 	 08/31/2022	P2	ML / AI	1 yr 	0 yrs	0	$282,150	190K 	 62.5K 	 29.7K
	Santa Monica, CA 	 05/31/2022	Engineer	ML / AI	1 yr 	0 yrs	0	$255,400	170K 	 40K 	 45.4K
	Santa Monica, CA 	 12/20/2021	New Grad	ML / AI	0 yrs 	0 yrs	0	$234,000	170K 	 19K 	 45K
	Pittsburgh, PA 	 11/22/2021	L1	ML / AI	0 yrs 	0 yrs	0	$174,000	140K 	 19K 	 15K
Hudson River Trading	New York, NY 	 08/31/2022	New Grad	ML / AI	0 yrs 	0 yrs	0	$441,250	200K 	 N/A 	 241.3K
	New York, NY 	 08/02/2022	L3	ML / AI	0 yrs 	0 yrs	0	$425,000	200K 	 N/A 	 225K
	New York, NY 	 07/14/2022	Algorithm Developer	ML / AI	2 yrs 	2 yrs	0	$2,700,000	200K 	 N/A 	 2.5M
	New York, NY 	 07/03/2022	Algorithm Developer	ML / AI	2 yrs 	2 yrs	0	$2,200,000	250K 	 N/A 	 1.95M
	New York, NY 	 12/27/2021	L1	ML / AI	0 yrs 	0 yrs	0	$420,000	200K 	 N/A 	 220K
	New York, NY 	 11/23/2021	L1	ML / AI	0 yrs 	0 yrs	0	$555,000	290K 	 N/A 	 265K
Belvedere Trading	Chicago, IL 	 08/31/2022	L1	ML / AI	1 yr 	1 yr	0	$150,600	145.6K 	 N/A 	 5K
American Express	Fort Lauderdale, FL 	 08/31/2022	Software Engineer II	ML / AI	0 yrs 	0 yrs	0	$105,000	105K 	 N/A 	 N/A
	Sunrise, FL 	 08/22/2022	L3	ML / AI	0 yrs 	0 yrs	0	$83,200	80K 	 N/A 	 3.2K
Etsy	New York, NY 	 08/31/2022	IC1	ML / AI	1 yr 	0 yrs	0	$177,700	132K 	 32.5K 	 13.2K
CarMax	Richmond, VA 	 08/31/2022	L1	ML / AI	2 yrs 	2 yrs	0	$91,000	81K 	 5K 	 5K
Vanguard	Malvern, PA 	 08/31/2022	L3	ML / AI	0 yrs 	0 yrs	0	$135,000	135K 	 N/A 	 N/A
AT&T	Chicago, IL 	 08/31/2022	L1, Step 1	ML / AI	1 yr 	0 yrs	0	$117,390	106.6K 	 N/A 	 10.8K
Nuro	Mountain View, CA 	 08/31/2022	L4	ML / AI	1 yr 	1 yr	0	$317,250	166K 	 151.3K 	 N/A
	Mountain View, CA 	 08/20/2022	L4	ML / AI	2 yrs 	2 yrs	0	$291,000	168K 	 103K 	 20K
	Mountain View, CA 	 01/04/2022	L4	ML / AI	2 yrs 	2 yrs	0	$185,000	165K 	 N/A 	 20K
samsung research	San Francisco, CA 	 08/30/2022	-	ML / AI	1 yr 	0 yrs	0	$159,000	140K 	 N/A 	 19K
Aurora	San Francisco, CA 	 08/30/2022	P4	ML / AI	0 yrs 	0 yrs	0	$200,000	125K 	 75K 	 N/A
	Mountain View, CA 	 07/31/2022	P5	ML / AI	2 yrs 	0 yrs	0	$330,000	280K 	 50K 	 N/A
Stottler Henke	San Mateo, CA 	 08/29/2022	L1	ML / AI	1 yr 	1 yr	0	$165,000	155K 	 N/A 	 10K
Northern Trust	Chicago, IL 	 08/27/2022	Entry Level	ML / AI	0 yrs 	0 yrs	0	$94,050	90K 	 N/A 	 4.1K
Roblox	San Mateo, CA 	 08/27/2022	IC1	ML / AI	0 yrs 	0 yrs	0	$230,500	152.5K 	 72.5K 	 5.5K
	San Mateo, CA 	 08/18/2022	IC1	ML / AI	0 yrs 	0 yrs	0	$213,000	146K 	 67K 	 N/A
	Los Angeles, CA 	 08/17/2022	IC1	ML / AI	1 yr 	1 yr	0	$210,000	130K 	 50K 	 30K
	San Mateo, CA 	 12/07/2021	IC2	ML / AI	2 yrs 	0 yrs	0	$260,000	160K 	 100K 	 N/A
Drift	Boston, MA 	 08/26/2022	Junior Engineer	ML / AI	2 yrs 	2 yrs	0	$180,000	150K 	 30K 	 N/A
RadNet	Cambridge, MA 	 08/24/2022	Mid Level Engineer	ML / AI	2 yrs 	2 yrs	0	$120,000	115K 	 5K 	 N/A
Dragonfruit AI	Los Angeles, CA 	 08/24/2022	-	ML / AI	0 yrs 	0 yrs	0	$225,000	100K 	 125K 	 N/A
PayPal	San Jose, CA 	 08/22/2022	T23	ML / AI	2 yrs 	2 yrs	0	$146,400	124K 	 10K 	 12.4K
Covariant	New York, NY 	 08/21/2022	-	ML / AI	2 yrs 	1 yr	0	$75,000	70K 	 5K 	 N/A
CVS Health	New York, NY 	 08/21/2022	408	ML / AI	2 yrs 	0 yrs	0	$120,000	110K 	 N/A 	 10K
Ally	Charlotte, NC 	 08/20/2022	Senior Engineer	ML / AI	1 yr 	1 yr	0	$123,000	115K 	 N/A 	 8K
	Charlotte, NC 	 07/27/2022	L3	ML / AI	0 yrs 	0 yrs	0	$89,000	80K 	 5K 	 4K
	Charlotte, NC 	 07/01/2022	L3	ML / AI	0 yrs 	0 yrs	0	$90,000	80K 	 5K 	 5K
Indeed	San Francisco, CA 	 08/19/2022	L1	ML / AI	1 yr 	0 yrs	0	$185,575	149K 	 16.7K 	 19.9K
	Austin, TX 	 08/15/2022	L2	ML / AI	0 yrs 	0 yrs	0	$176,250	145K 	 31.3K 	 N/A
	Seattle, WA 	 02/28/2022	L2	ML / AI	2 yrs 	0 yrs	0	$210,000	162K 	 32K 	 16K
Morgan Stanley	Alpharetta, GA 	 08/18/2022	L1	ML / AI	0 yrs 	0 yrs	0	$92,500	92.5K 	 N/A 	 N/A
Iterable	San Francisco, CA 	 08/18/2022	L3	ML / AI	2 yrs 	2 yrs	0	$168,000	168K 	 N/A 	 N/A
Accenture	Charlotte, NC 	 08/18/2022	L11	ML / AI	1 yr 	1 yr	0	$85,000	77K 	 N/A 	 8K
	Florham Park, NJ 	 08/15/2022	11	ML / AI	0 yrs 	0 yrs	0	$101,400	92.4K 	 N/A 	 9K
	Chicago, IL 	 07/31/2022	Software Engineer Analyst	ML / AI	0 yrs 	0 yrs	0	$62,400	62.4K 	 N/A 	 N/A
Quantiphi	Marlborough, MA 	 08/17/2022	-	ML / AI	2 yrs 	1 yr	0	$98,000	93K 	 N/A 	 5K
InterSystems	Boston, MA 	 08/16/2022	1	ML / AI	2 yrs 	0 yrs	0	$145,000	115K 	 N/A 	 30K
Magic Leap	Sunnyvale, CA 	 08/16/2022	L3	ML / AI	2 yrs 	2 yrs	0	$150,000	150K 	 N/A 	 N/A
Dexterity	Redwood City, CA 	 08/14/2022	L1	ML / AI	2 yrs 	1 yr	0	$110,000	110K 	 N/A 	 N/A
Roche	South San Francisco, CA 	 08/12/2022	L1	ML / AI	2 yrs 	2 yrs	0	$130,000	120K 	 10K 	 N/A
Acrisure	Austin, TX 	 08/12/2022	L2	ML / AI	2 yrs 	2 yrs	0	$136,250	113K 	 6.3K 	 17K
Aptiv	Agoura Hills, CA 	 08/11/2022	L3	ML / AI	2 yrs 	0 yrs	0	$125,000	125K 	 N/A 	 N/A
Parallel Wireless	Nashua, NH 	 08/09/2022	Entry Level	ML / AI	1 yr 	1 yr	0	$107,400	94K 	 4K 	 9.4K
Northrop Grumman	Ogden, UT 	 08/07/2022	T1	ML / AI	1 yr 	1 yr	0	$94,000	93K 	 N/A 	 1K
White Clay	Louisville, KY 	 08/04/2022	Junior	ML / AI	1 yr 	1 yr	0	$90,000	70K 	 N/A 	 20K
IMC	Chicago, IL 	 08/04/2022	L3	ML / AI	1 yr 	0 yrs	0	$163,500	150K 	 1K 	 12.5K
Robinhood	San Francisco, CA 	 08/02/2022	L2	ML / AI	2 yrs 	1 yr	0	$314,500	195K 	 100K 	 19.5K
Navy	Washington, DC 	 07/31/2022	L3	ML / AI	2 yrs 	2 yrs	0	$87,000	87K 	 N/A 	 N/A
Logos Technologies	Raleigh, NC 	 07/29/2022	L1	ML / AI	0 yrs 	0 yrs	0	$90,000	90K 	 N/A 	 N/A
Tata Consultancy ...	Boston, MA 	 07/29/2022	L1	ML / AI	1 yr 	1 yr	0	$75,000	71.5K 	 N/A 	 3.5K
	Dearborn, MI 	 07/17/2022	Entry Level	ML / AI	2 yrs 	1 yr	0	$72,300	72.3K 	 N/A 	 N/A
	Las Vegas, NV 	 02/08/2022	Y1C	ML / AI	0 yrs 	0 yrs	0	$74,000	72K 	 N/A 	 2K
SailPoint	Austin, TX 	 07/29/2022	L3	ML / AI	2 yrs 	2 yrs	0	$133,000	120K 	 5K 	 8K
JD.com	San Francisco, CA 	 07/27/2022	4	ML / AI	2 yrs 	2 yrs	0	$230,000	200K 	 30K 	 N/A
Fidelity Investments	Boston, MA 	 07/27/2022	L4	ML / AI	2 yrs 	0 yrs	0	$109,250	90K 	 N/A 	 19.3K
Take-Two Interact...	San Diego, CA 	 07/27/2022	L1	ML / AI	1 yr 	1 yr	0	$88,000	80K 	 N/A 	 8K
Fda	White Oak, MD 	 07/27/2022	-	ML / AI	0 yrs 	0 yrs	0	$74,400	74.4K 	 N/A 	 N/A
Balbix	San Jose, CA 	 07/20/2022	-	ML / AI	2 yrs 	2 yrs	0	$145,000	137K 	 N/A 	 8K
Bosch Global	Sunnyvale, CA 	 07/20/2022	L4	ML / AI	1 yr 	0 yrs	0	$235,000	175K 	 45K 	 15K
VMware	Palo Alto, CA 	 07/19/2022	MTS 3	ML / AI	2 yrs 	2 yrs	0	$190,000	160K 	 30K 	 N/A
	Palo Alto, CA 	 03/31/2022	MTS 2	ML / AI	1 yr 	0 yrs	0	$195,185	138K 	 31.3K 	 25.9K
Dorabot	Atlanta, GA 	 07/18/2022	L2	ML / AI	1 yr 	1 yr	0	$90,000	90K 	 N/A 	 N/A
DocuSign	Seattle, WA 	 07/18/2022	P3	ML / AI	2 yrs 	0 yrs	0	$317,250	195K 	 100K 	 22.3K
Syntiant	Irvine, CA 	 07/17/2022	-	ML / AI	1 yr 	1 yr	0	$250,000	240K 	 10K 	 N/A
Olive	San Francisco, CA 	 07/15/2022	L4	ML / AI	1 yr 	1 yr	0	$94,972	84.3K 	 N/A 	 10.7K
Kindred AI	San Francisco, CA 	 07/13/2022	L1	ML / AI	1 yr 	1 yr	0	$145,000	145K 	 N/A 	 N/A
Intuitive	Sunnyvale, CA 	 07/09/2022	L3	ML / AI	1 yr 	1 yr	0	$252,000	156K 	 75K 	 21K
U.S. Bank	Cupertino, CA 	 07/07/2022	L3	ML / AI	1 yr 	1 yr	0	$148,000	138K 	 N/A 	 10K
Embark Trucks	San Francisco, CA 	 07/01/2022	L3	ML / AI	2 yrs 	0 yrs	0	$277,750	185K 	 62.5K 	 30.3K
	San Francisco, CA 	 02/24/2022	-	ML / AI	2 yrs 	0 yrs	0	$220,000	150K 	 50K 	 20K
	San Francisco, CA 	 02/10/2022	-	ML / AI	2 yrs 	0 yrs	0	$220,000	160K 	 40K 	 20K
Boeing	Los Angeles, CA 	 06/30/2022	L1	ML / AI	0 yrs 	0 yrs	0	$105,000	105K 	 N/A 	 N/A
novo nordisk	Princeton, NJ 	 06/30/2022	L1	ML / AI	1 yr 	0 yrs	0	$95,000	95K 	 N/A 	 N/A
Neato Robotics	San Jose, CA 	 06/29/2022	L4	ML / AI	1 yr 	1 yr	0	$140,000	125K 	 N/A 	 15K
IBM	Raleigh, NC 	 06/26/2022	Associate Engineer	ML / AI	1 yr 	1 yr	0	$95,000	95K 	 N/A 	 N/A
	Yorktown Heights, NY 	 01/30/2022	Staff Engineer	ML / AI	1 yr 	1 yr	+$7K	$140,000	140K 	 N/A 	 N/A
	New York, NY 	 12/06/2021	Associate Engineer	ML / AI	1 yr 	0 yrs	0	$120,000	115K 	 N/A 	 5K
	Yorktown Heights, NY 	 12/01/2021	Associate Engineer	ML / AI	0 yrs 	0 yrs	0	$150,000	150K 	 N/A 	 N/A
Metronet	Kansas City, MO 	 06/25/2022	L2	ML / AI	1 yr 	0 yrs	0	$86,500	79.5K 	 7K 	 N/A
Eikon Therapeutics	Hayward, CA 	 06/25/2022	L5	ML / AI	2 yrs 	0 yrs	0	$244,350	180K 	 42.6K 	 21.8K
Netflix	Boston, MA 	 06/23/2022	L3	ML / AI	1 yr 	0 yrs	0	$180,000	180K 	 N/A 	 N/A
hireEZ	Mountain View, CA 	 06/22/2022	-	ML / AI	2 yrs 	2 yrs	0	$157,200	150K 	 7.2K 	 N/A
Autodesk	Portland, OR 	 06/22/2022	Software Engineer 2	ML / AI	0 yrs 	0 yrs	0	$133,000	110K 	 15K 	 8K
Trinnex	Philadelphia, PA 	 06/17/2022	2	ML / AI	2 yrs 	2 yrs	0	$77,190	77.2K 	 N/A 	 N/A
Applied Physics Lab	Laurel, MD 	 06/16/2022	1	ML / AI	2 yrs 	2 yrs	0	$110,000	110K 	 N/A 	 N/A
Woven Planet Group	Palo Alto, CA 	 06/13/2022	L4	ML / AI	1 yr 	1 yr	0	$330,000	180K 	 N/A 	 150K
	Palo Alto, CA 	 04/27/2022	T4	ML / AI	2 yrs 	2 yrs	0	$247,400	184K 	 N/A 	 63.4K
	Palo Alto, CA 	 01/13/2022	T4	ML / AI	2 yrs 	2 yrs	0	$258,000	148K 	 95K 	 15K
Booz Allen Hamilton	Annapolis, MD 	 06/01/2022	Engineer	ML / AI	1 yr 	0 yrs	0	$101,250	100K 	 N/A 	 1.3K
	Arlington, VA 	 03/31/2022	L1	ML / AI	0 yrs 	0 yrs	0	$82,000	82K 	 N/A 	 N/A
Sandia National Labs	Albuquerque, NM 	 06/01/2022	Member	ML / AI	2 yrs 	2 yrs	0	$119,000	119K 	 N/A 	 N/A
Opendoor	New York, NY 	 05/31/2022	L3	ML / AI	2 yrs 	0 yrs	0	$350,000	190K 	 150K 	 10K
LivePerson	Seattle, WA 	 05/25/2022	L1	ML / AI	2 yrs 	1 yr	0	$145,000	120K 	 25K 	 N/A
Johns Hopkins Uni...	Laurel, MD 	 05/13/2022	L1	ML / AI	0 yrs 	0 yrs	+$10K	$98,250	97K 	 N/A 	 1.3K
Chevron	Chicago, IL 	 05/07/2022	3	ML / AI	2 yrs 	2 yrs	0	$120,000	120K 	 N/A 	 N/A
The Aerospace Cor...	El Segundo, CA 	 05/01/2022	Associate	ML / AI	0 yrs 	0 yrs	+$4K	$92,000	92K 	 N/A 	 N/A
	El Segundo, CA 	 02/13/2022	L1	ML / AI	1 yr 	1 yr	0	$110,000	110K 	 N/A 	 N/A
OpenText	San Diego, CA 	 04/25/2022	L3	ML / AI	2 yrs 	2 yrs	0	$105,000	105K 	 N/A 	 N/A
Global Relay	New York, NY 	 04/25/2022	3	ML / AI	1 yr 	0 yrs	0	$272,604	253.1K 	 19.5K 	 N/A
Vimeo	New York, NY 	 04/23/2022	L3	ML / AI	1 yr 	1 yr	0	$180,000	120K 	 50K 	 10K
Reddit	New York, NY 	 04/17/2022	IC3	ML / AI	2 yrs 	1 yr	0	$233,333	175K 	 58.3K 	 N/A
Ambarella	Santa Clara, CA 	 04/12/2022	Senior	ML / AI	2 yrs 	2 yrs	0	$260,000	170K 	 90K 	 N/A
Michaels	Dallas, TX 	 04/11/2022	3	ML / AI	2 yrs 	2 yrs	0	$105,000	105K 	 N/A 	 N/A
Argo AI	San Francisco, CA 	 04/05/2022	L4	ML / AI	2 yrs 	0 yrs	0	$323,250	180K 	 110K 	 33.3K
Asurion	Nashville, TN 	 04/04/2022	Software Engineer 2	ML / AI	2 yrs 	0 yrs	0	$135,500	117.5K 	 N/A 	 18K
NCR	Atlanta, GA 	 04/02/2022	Grade 10	ML / AI	2 yrs 	2 yrs	0	$105,500	105K 	 N/A 	 500
ETS AI Labs	Irvine, CA 	 04/01/2022	L3	ML / AI	1 yr 	0 yrs	0	$132,000	132K 	 N/A 	 N/A
Square	Austin, TX 	 04/01/2022	Level 4	ML / AI	2 yrs 	0 yrs	0	$211,250	140K 	 71.3K 	 N/A
AeroVironment	Simi Valley, CA 	 03/31/2022	L1	ML / AI	0 yrs 	0 yrs	0	$54,080	54.1K 	 N/A 	 N/A
Megaport	Indianapolis, IN 	 03/31/2022	-	ML / AI	2 yrs 	0 yrs	0	$157,500	150K 	 N/A 	 7.5K
Anduril Industries	Costa Mesa, CA 	 03/22/2022	L4	ML / AI	1 yr 	1 yr	0	$276,000	160K 	 116K 	 N/A
	Irvine, CA 	 02/26/2022	L3	ML / AI	1 yr 	1 yr	0	$120,000	120K 	 N/A 	 N/A
	Irvine, CA 	 01/08/2022	New Grad	ML / AI	0 yrs 	0 yrs	0	$180,000	150K 	 30K 	 N/A
CoverMyMeds	Columbus, OH 	 03/21/2022	P3	ML / AI	2 yrs 	1 yr	0	$148,500	135K 	 N/A 	 13.5K
Anyscale	San Francisco, CA 	 03/10/2022	L3	ML / AI	0 yrs 	0 yrs	0	$235,000	145K 	 60K 	 30K
	San Francisco, CA 	 03/01/2022	L4	ML / AI	0 yrs 	0 yrs	0	$206,800	150K 	 56.8K 	 N/A
Amperity	Seattle, WA 	 03/01/2022	L1	ML / AI	0 yrs 	0 yrs	0	$130,000	115K 	 15K 	 N/A
Optum	San Francisco, CA 	 03/01/2022	29	ML / AI	0 yrs 	0 yrs	0	$107,500	105K 	 2.5K 	 N/A
Walmart	Sunnyvale, CA 	 03/01/2022	L3	ML / AI	1 yr 	0 yrs	0	$161,250	150K 	 11.3K 	 N/A
Epic Systems	Madison, WI 	 03/01/2022	Software Developer	ML / AI	0 yrs 	0 yrs	+$5K	$111,250	105K 	 N/A 	 6.3K
	Madison, WI 	 02/20/2022	Software Developer	ML / AI	1 yr 	1 yr	0	$155,000	128K 	 12K 	 15K
DoorDash	San Francisco, CA 	 03/01/2022	E4	ML / AI	2 yrs 	0 yrs	0	$365,000	200K 	 165K 	 N/A
Duolingo	Pittsburgh, PA 	 02/28/2022	L3	ML / AI	0 yrs 	0 yrs	0	$185,000	140K 	 40K 	 5K
Deutsche Bank	Cary, NC 	 02/28/2022	Analyst	ML / AI	0 yrs 	0 yrs	0	$71,255	70K 	 N/A 	 1.3K
Lacework	San Jose, CA 	 02/28/2022	L3	ML / AI	1 yr 	0 yrs	0	$200,000	150K 	 50K 	 N/A
Hyundai Motor Group	Boston, MA 	 02/28/2022	P3	ML / AI	1 yr 	1 yr	0	$128,000	108K 	 N/A 	 20K
Relativity	Chicago, IL 	 02/28/2022	L1	ML / AI	2 yrs 	1 yr	0	$105,000	95K 	 N/A 	 10K
H&R Block	Kansas City, MO 	 02/24/2022	L3	ML / AI	0 yrs 	0 yrs	0	$73,000	70K 	 N/A 	 3K
Coinbase	San Francisco, CA 	 02/22/2022	IC4	ML / AI	2 yrs 	0 yrs	0	$248,000	165K 	 75K 	 8K
Ancestry	San Francisco, CA 	 02/22/2022	New Grad	ML / AI	0 yrs 	0 yrs	0	$184,000	145K 	 26K 	 13K
Sleep Number	San Jose, CA 	 02/21/2022	L3	ML / AI	1 yr 	1 yr	0	$170,000	135K 	 15K 	 20K
Clarifai	New York, NY 	 02/20/2022	L1	ML / AI	0 yrs 	0 yrs	0	$175,000	135K 	 40K 	 N/A
Principal Financi...	Des Moines, IA 	 02/20/2022	II	ML / AI	2 yrs 	1 yr	0	$84,000	84K 	 N/A 	 N/A
DEKA	Manchester, NH 	 02/16/2022	Junior Engineer	ML / AI	1 yr 	1 yr	0	$82,000	80K 	 N/A 	 2K
Rivian	Palo Alto, CA 	 02/16/2022	RIV-4	ML / AI	2 yrs 	0 yrs	0	$284,000	175K 	 75K 	 34K
SAS Software	Cary, NC 	 02/14/2022	L4	ML / AI	2 yrs 	2 yrs	0	$124,000	120K 	 N/A 	 4K
N/A	Pittsburgh, PA 	 02/11/2022	L1	ML / AI	2 yrs 	2 yrs	0	$85,000	65K 	 20K 	 N/A
A Place For Mom	Atlanta, GA 	 02/04/2022	L1	ML / AI	2 yrs 	1 yr	0	$143,000	130K 	 N/A 	 13K
Snap Finance	Salt Lake City, UT 	 02/02/2022	Entry Level	ML / AI	0 yrs 	0 yrs	0	$160,000	160K 	 N/A 	 N/A
Raven Industries	Sioux Falls, SD 	 02/02/2022	L1	ML / AI	2 yrs 	1 yr	0	$107,000	105K 	 N/A 	 2K
	Arizona City, AZ 	 01/29/2022	L1	ML / AI	2 yrs 	0 yrs	0	$117,000	115K 	 N/A 	 2K
Varian Medical Sy...	Palo Alto, CA 	 02/01/2022	L3	ML / AI	1 yr 	1 yr	0	$168,000	160K 	 N/A 	 8K
Zoom	Los Angeles, CA 	 01/31/2022	ZP5	ML / AI	2 yrs 	0 yrs	0	$388,000	238K 	 150K 	 N/A
	New York, NY 	 11/17/2021	ZP3	ML / AI	2 yrs 	0 yrs	0	$224,000	158K 	 53K 	 13K
Workday	Atlanta, GA 	 01/31/2022	P2	ML / AI	0 yrs 	0 yrs	0	$163,100	146K 	 N/A 	 17.1K
Nylas	San Francisco, CA 	 01/31/2022	P5	ML / AI	1 yr 	0 yrs	0	$178,750	160K 	 18.8K 	 N/A
Vicarious	Union City, CA 	 01/30/2022	P2	ML / AI	0 yrs 	0 yrs	0	$155,000	155K 	 N/A 	 N/A
May Mobility	Ann Arbor, MI 	 01/28/2022	IC-1	ML / AI	1 yr 	1 yr	0	$110,000	110K 	 N/A 	 N/A
NXP Semiconductors	Austin, TX 	 01/27/2022	G2	ML / AI	1 yr 	1 yr	0	$104,000	99K 	 N/A 	 5K
Snorkel AI	Palo Alto, CA 	 01/27/2022	L1	ML / AI	1 yr 	1 yr	0	$215,000	160K 	 12K 	 43K
Zillow	Seattle, WA 	 01/26/2022	P2	ML / AI	0 yrs 	0 yrs	0	$174,000	125K 	 29K 	 20K
	Seattle, WA 	 01/13/2022	P3	ML / AI	2 yrs 	2 yrs	0	$190,000	150K 	 25K 	 15K
Nike	Portland, OR 	 01/19/2022	L2	ML / AI	2 yrs 	2 yrs	0	$170,000	147K 	 N/A 	 23K
Eightfold	Santa Clara, CA 	 01/19/2022	Entry Level	ML / AI	0 yrs 	0 yrs	0	$210,000	145K 	 50K 	 15K
Quora	San Francisco, CA 	 01/18/2022	L3	ML / AI	0 yrs 	0 yrs	0	$220,000	145K 	 35K 	 40K
	Seattle, WA 	 11/14/2021	L3	ML / AI	0 yrs 	0 yrs	0	$158,000	145K 	 N/A 	 13K
XPENG Motors 小鹏汽车	Sunnyvale, CA 	 01/14/2022	L3	ML / AI	1 yr 	0 yrs	0	$172,000	156K 	 N/A 	 16K
Barclays	Whippany, NJ 	 01/11/2022	BA4	ML / AI	2 yrs 	2 yrs	0	$125,000	113K 	 N/A 	 12K
Cadence Design Sy...	Austin, TX 	 01/08/2022	T3	ML / AI	2 yrs 	2 yrs	0	$175,000	145K 	 10K 	 20K
Lyft	Palo Alto, CA 	 01/08/2022	T5	ML / AI	2 yrs 	0 yrs	0	$420,000	185K 	 200K 	 35K
Domino Data Lab	San Francisco, CA 	 01/07/2022	1	ML / AI	1 yr 	0 yrs	0	$173,000	150K 	 20K 	 3K
Nordstrom	Seattle, WA 	 01/03/2022	E1	ML / AI	1 yr 	1 yr	0	$140,000	120K 	 N/A 	 20K
Mythical Games	Seattle, WA 	 01/01/2022	1	ML / AI	2 yrs 	0 yrs	0	$172,750	150K 	 4K 	 18.8K
MOLOCO	San Francisco, CA 	 12/31/2021	L3	ML / AI	0 yrs 	0 yrs	0	$195,000	150K 	 45K 	 N/A
Atlassian	Mountain View, CA 	 12/23/2021	P4	ML / AI	2 yrs 	1 yr	0	$211,000	160K 	 35K 	 16K
BCG gamma	Seattle, WA 	 12/14/2021	L3	ML / AI	2 yrs 	0 yrs	0	$180,000	135K 	 30K 	 15K
Qualtrics	Seattle, WA 	 12/13/2021	L3	ML / AI	1 yr 	1 yr	0	$142,000	111K 	 25K 	 6K
Second Spectrum	Los Angeles, CA 	 12/08/2021	L2	ML / AI	2 yrs 	2 yrs	0	$125,000	125K 	 N/A 	 N/A
Experian	Scottsdale, AZ 	 12/07/2021	Junior	ML / AI	1 yr 	1 yr	0	$88,000	80K 	 N/A 	 8K
Shield AI	Arlington, VA 	 12/06/2021	2	ML / AI	2 yrs 	2 yrs	0	$96,000	93K 	 N/A 	 3K
	Alexandria, VA 	 12/06/2021	L3	ML / AI	2 yrs 	2 yrs	0	$108,000	90K 	 13K 	 5K
Jane Street	New York, NY 	 12/01/2021	hidden	ML / AI	2-4 yrs 	2-4 yrs	0	$400,000	200K 	 N/A 	 200K
Tiger Analytics	Orlando, FL 	 11/30/2021	L1	ML / AI	2 yrs 	0 yrs	0	$115,000	105K 	 N/A 	 10K
USAA	Phoenix, AZ 	 11/28/2021	3	ML / AI	0 yrs 	0 yrs	0	$97,000	83K 	 N/A 	 14K
Cisco	San Jose, CA 	 11/24/2021	Software Engineer IV	ML / AI	2 yrs 	0 yrs	0	$246,000	199K 	 18K 	 29K
Walmart Global Tech	Hoboken, NJ 	 11/23/2021	Software Engineer 3	ML / AI	1 yr 	0 yrs	0	$193,000	145K 	 25K 	 23K
AppLovin	Palo Alto, CA 	 11/22/2021	L4	ML / AI	2 yrs 	0 yrs	0	$280,000	205K 	 70K 	 5K
Chewy	Fort Lauderdale, FL 	 11/19/2021	C05	ML / AI	1 yr 	0 yrs	0	$122,000	105K 	 10K 	 7K
