Company	Location	Date	Level Name	Tag	Years of Experience	Total / At Company	Negotiated	Total Compensation (USD)	Base	Stock (yr)	Bonus
	New York, NY 	 12/20/2022	SDE I	ML / AI	1 yr 	0 yrs	0	$150,000	150K 	 N/A 	 N/A
	Bellevue, WA 	 12/19/2022	SDE II	ML / AI	2 yrs 	2 yrs	0	$250,000	150K 	 100K 	 N/A
	Santa Clara, CA 	 12/18/2022	SDE I	ML / AI	2 yrs 	2 yrs	0	$135,000	135K 	 N/A 	 N/A
	Seattle, WA 	 12/09/2022	SDE I	ML / AI	1 yr 	0 yrs	0	$179,000	139K 	 40K 	 N/A
	Seattle, WA 	 12/09/2022	SDE II	ML / AI	2 yrs 	2 yrs	0	$256,000	176K 	 40K 	 40K
	Los Angeles, CA 	 12/08/2022	SDE II	ML / AI	0 yrs 	0 yrs	0	$247,500	220K 	 27.5K 	 N/A
	Seattle, WA 	 12/01/2022	SDE II	ML / AI	0 yrs 	0 yrs	0	$285,000	150K 	 60K 	 75K
	San Francisco, CA 	 11/21/2022	SDE II	ML / AI	0 yrs 	0 yrs	0	$380,000	180K 	 N/A 	 N/A
	Seattle, WA 	 11/17/2022	SDE II	ML / AI	1 yr 	1 yr	0	$272,000	152K 	 50K 	 70K
	New York, NY 	 11/17/2022	SDE I	ML / AI	0 yrs 	0 yrs	0	$96,270	92.5K 	 3.8K 	 N/A
