EMPLOYER	JOB TITLE	BASE SALARY	LOCATION	SUBMIT DATE	START DATE
VIDEAHEALTH INC	MACHINE LEARNING ENGINEER	83500.0	CAMBRIDGE, MA	05/05/2021	10/01/2021
VIDEAHEALTH INC	MACHINE LEARNING ENGINEER	83500.0	CAMBRIDGE, MA	03/15/2021	03/17/2021
GLAXOSMITHKLINE LLC	MACHINE LEARNING ENGINEER	83866.0	SOUTH SAN FRANCISCO, CA	07/16/2019	08/16/2019
GLAXOSMITHKLINE LLC	MACHINE LEARNING ENGINEER	83866.0	SOUTH SAN FRANCISCO, CA	07/15/2019	10/01/2019
SYNAPSIS INC	MACHINE LEARNING ENGINEER	84614.0	PITTSBURGH, PA	07/26/2022	08/08/2022
SYNAPSIS INC	MACHINE LEARNING ENGINEER	84614.0	PITTSBURGH, PA	07/26/2022	08/08/2022
COLABERRY INC	MACHINE LEARNING ENGINEER	84698.0	BOSTON, MA	03/24/2019	09/15/2019
COLABERRY INC	MACHINE LEARNING ENGINEER	84698.0	BOSTON, MA	03/25/2019	09/24/2019
BANJO INC	MACHINE LEARNING ENGINEER	84781.0	PARK CITY, UT	02/19/2019	08/01/2019
BANJO INC	MACHINE LEARNING ENGINEER	84781.0	PARK CITY, UT	02/19/2019	08/01/2019
NINOH INC	MACHINE LEARNING ENGINEER	85000.0	NEW YORK, NY	03/03/2016	08/27/2016
PAINTED DOG INC	MACHINE LEARNING ENGINEER	85000.0	NEW YORK, NY	03/18/2019	09/06/2019
VISTRA CORPORATE SERVICES COMPANY	MACHINE LEARNING ENGINEER	85000.0	IRVING, TX	03/23/2018	09/18/2018
ROAM ANALYTICS INC	MACHINE LEARNING ENGINEER	85000.0	SAN MATEO, CA	02/19/2016	08/20/2016
CNET GLOBAL SOLUTIONS INC	MACHINE LEARNING ENGINEER	85000.0	RICHARDSON, TX	05/19/2021	10/01/2021
US XPRESS ENTERPRISES INC	MACHINE LEARNING ENGINEER	85000.0	SCOTTSDALE, AZ	04/28/2020	10/01/2020
VISTRA CORPORATE SERVICES COMPANY	MACHINE LEARNING ENGINEER	85000.0	IRVING, TX	03/23/2018	09/18/2018
QUICKEN LOANS LLC	MACHINE LEARNING ENGINEER	85000.0	DETROIT, MI	06/04/2021	10/01/2021
CROWDAI INC	MACHINE LEARNING ENGINEER	85000.0	MOUNTAIN VIEW, CA	03/07/2017	09/06/2017
KUNG FU SOLUTIONS INC	MACHINE LEARNING ENGINEER	85000.0	AUSTIN, TX	02/27/2020	08/24/2020
ANAPLAN INC	MACHINE LEARNING ENGINEER	85000.0	MINNEAPOLIS, MN	03/06/2020	08/31/2020
DEMANDJUMP INC	MACHINE LEARNING ENGINEER	85000.0	INDIANAPOLIS, IN	02/01/2018	08/01/2018
FLUENCE ENERGY LLC	MACHINE LEARNING ENGINEER	85000.0	ARLINGTON, VA	05/15/2020	10/01/2020
INTELLIGIBLE AI INC	MACHINE LEARNING ENGINEER	85000.0	PITTSBURGH, PA	03/23/2018	09/21/2018
QUANTIPHI INC	MACHINE LEARNING ENGINEER	85000.0	MARLBOROUGH, MA	03/21/2019	09/20/2019
UNIVERSAL ROBOTICS INC	MACHINE LEARNING ENGINEER	85000.0	NASHVILLE, TN	02/21/2019	08/22/2019
ABBVIE INC	MACHINE LEARNING ENGINEER	85000.0	NORTH CHICAGO, IL	05/19/2022	10/01/2022
E2LOG INC	MACHINE LEARNING ENGINEER	85000.0	SUGAR LAND, TX	06/08/2022	10/01/2022
ADECCO GROUP NA/MODIS INC	MACHINE LEARNING ENGINEER	85321.0	DEARBORN, MI	04/02/2021	09/26/2021
MOUNTAIN IT SOLUTIONS LLC	MACHINE LEARNING ENGINEER	85426.0	ENGLEWOOD, CO	10/18/2018	11/01/2018
VOXELCLOUD INC	MACHINE LEARNING ENGINEER	85550.0	LOS ANGELES, CA	06/08/2020	09/25/2020
GV20 THERAPEUTICS LLC	MACHINE LEARNING ENGINEER	86000.0	WALTHAM, MA	05/28/2021	10/01/2021
SOVASAGE INC	MACHINE LEARNING ENGINEER	86000.0	PITTSBURGH, PA	06/02/2021	10/01/2021
DEKA RESEARCH & DEVELOPMENT CORPORATION	MACHINE LEARNING ENGINEER	86000.0	MANCHESTER, NH	05/05/2020	10/01/2020
SOUNDHOUND INC	MACHINE LEARNING ENGINEER	86000.0	SANTA CLARA, CA	02/29/2020	08/29/2020
TRESATA INC	MACHINE LEARNING ENGINEER	86029.0	CHARLOTTE, NC	04/27/2021	10/01/2021
TRESATA INC	MACHINE LEARNING ENGINEER	86029.0	CHARLOTTE, NC	04/28/2021	10/01/2021
TRIMBLE INC	MACHINE LEARNING ENGINEER	86299.0	STATE COLLEGE, PA	02/18/2022	02/18/2022
QUANTIPHI INC	MACHINE LEARNING ENGINEER	86320.0	SUNNYVALE, CA	03/21/2019	09/15/2019
FLUENCE ENERGY LLC	MACHINE LEARNING ENGINEER	86812.0	PITTSBURGH, PA	05/25/2021	06/02/2021
V3TECH SOLUTIONS INC	MACHINE LEARNING ENGINEER	87000.0	CHANDLER, AZ	05/05/2022	10/01/2022
PULSE LABS AI INC	MACHINE LEARNING ENGINEER	87000.0	SALT LAKE CITY, UT	05/10/2022	10/01/2022
PULSE LABS AI INC	MACHINE LEARNING ENGINEER	87000.0	SALT LAKE CITY, UT	05/12/2022	10/01/2022
IMAGRY INC	MACHINE LEARNING ENGINEER	87070.0	TEMPE, AZ	03/14/2019	09/13/2019
7-ELEVEN INC	MACHINE LEARNING ENGINEER	87451.0	IRVING, TX	03/23/2022	03/28/2022
COLABERRY INC	MACHINE LEARNING ENGINEER	87859.0	BOSTON, MA	03/26/2018	09/25/2018
